咪咕,#genre#
CCTV1综合,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV1
CCTV2财经,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV2
CCTV3综艺,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV3
CCTV4中文国际,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV4
CCTV5体育*,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV5
CCTV5+体育赛事*,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV5p
CCTV6电影,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV6
CCTV7国防军事,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV7
CCTV8电视剧,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV8
CCTV9纪录,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV9
CCTV10科教,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV10
CCTV11戏曲,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV11
CCTV12社会与法,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV12
CCTV13新闻,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV13
CCTV14少儿,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV14
CCTV15音乐,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV15
CCTV17农业农村,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV17
CCTV4欧洲,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV4欧洲
CCTV4美洲,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CCTV4美洲
CGTN,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CGTN
CGTN Documentary,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CGTNDocumentary
CGTN阿拉伯语,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CGTN阿拉伯语
CGTN西班牙语,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CGTN西班牙语
CGTN法语,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CGTN法语
CGTN俄语,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CGTN俄语
发现之旅,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=发现之旅
中学生,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=中学生
老故事,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=老故事
江苏卫视,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=江苏卫视
江西卫视,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=江西卫视
陕西卫视,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=陕西卫视
海南卫视,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=海南卫视
大湾区卫视,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=大湾区卫视
湖北卫视,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=湖北卫视
青海卫视,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=青海卫视
吉林卫视,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=吉林卫视
海峡卫视,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=海峡卫视
上海新闻综合,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=上海新闻综合
上视纪实人文,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=上视纪实人文
上海外语,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=上海外语
七彩戏剧,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=七彩戏剧
南京新闻综合频道,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=南京新闻综合频道
南京教科频道,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=南京教科频道
南京十八频道,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=南京十八频道
江苏城市频道,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=江苏城市频道
江苏国际,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=江苏国际
江苏教育,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=江苏教育
江苏影视频道,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=江苏影视频道
江苏综艺频道,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=江苏综艺频道
连云港新闻综合,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=连云港新闻综合
公共新闻频道,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=公共新闻频道
淮安新闻综合,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=淮安新闻综合
泰州新闻综合,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=泰州新闻综合
体育休闲频道,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=体育休闲频道
宿迁新闻综合,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=宿迁新闻综合
徐州新闻综合,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=徐州新闻综合
优漫卡通频道,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=优漫卡通频道
嘉佳卡通,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=嘉佳卡 
经典动画大集合,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=经典动画大集合
临洮电视台,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=临洮电视台
NBA经典,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=NBA经典
五大联赛经典,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=五大联赛经典
CBA经典,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=CBA经典
UFC格斗精选,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=UFC格斗精选
劲爆体育,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=劲爆体育
魅力足球,http://dp.sxtv.top:88/神仙影视专用盗源死全家/migu.php?id=魅力足球
